F Weight Lower,F Weight Upper,F Wing Lower,F Wing Upper,M Weight Lower,M Weight Upper,M Wing Lower,M Wing Upper,Species Code
0,0,0,0,0,0,0,0,GREL
6,7,0,0,6,7,0,0,GREM
11,14,63,73,11,14,66,76,GRFL
0,0,0,0,0,0,0,0,GRFR
0,0,256,293,0,0,239,273,GRHA
0,0,0,0,0,0,0,0,GRHE
6,7,0,0,6,7,0,0,GRMA
0,0,95,111,0,0,101,114,GRPE
0,0,162,195,0,0,164,196,GRRO
0,0,0,0,0,0,0,0,GRSC
0,0,310,337,0,0,317,341,GRSH
0,0,0,0,0,0,0,0,GRSK
13,28,55,65,13,28,58,68,GRSP
0,0,59,66,0,0,61,68,GRVI
0,0,61,67,0,0,63,70,GRWA
0,0,179,200,0,0,177,198,GRYE
0,0,0,0,0,0,0,0,GSFL
0,0,397,471,0,0,412,479,GSGO
0,0,0,0,0,0,0,0,GTCA
96,140,124,158,157,234,160,206,GTGR
0,0,0,0,0,0,0,0,GTTA
0,0,70,80,0,0,74,85,GTTO
0,0,0,0,0,0,0,0,GUCO
0,0,0,0,0,0,0,0,GUSW
0,0,0,0,0,0,0,0,GVIO
24,37,69,79,24,37,74,84,GWCS
0,0,351,450,0,0,367,465,GWFG
0,0,0,0,0,0,0,0,GWGU
0,0,0,0,0,0,0,0,GWHE
7,11,54,63,7,12,57,67,GWWA
0,0,380,422,0,0,344,387,GYRF
0,0,0,0,0,0,0,0,HAAM
0,0,0,0,0,0,0,0,HACO
0,0,0,0,0,0,0,0,HAEL
7,12,62,72,7,12,65,75,HAFL
0,0,0,0,0,0,0,0,HAGO
0,0,0,0,0,0,0,0,HAMO
0,0,0,0,0,0,0,0,HAPE
0,0,0,0,0,0,0,0,HARD
0,0,76,85,0,0,82,91,HASP
0,0,0,0,0,0,0,0,HAST
0,0,0,0,0,0,0,0,HAWD
48,62,0,0,48,62,0,0,HAWF
56,79,107,137,62,89,110,138,HAWO
0,0,266,318,0,0,262,313,HBKI
0,0,0,0,0,0,0,0,HCRE
0,0,0,0,0,0,0,0,HCRO
0,0,0,0,0,0,0,0,HCRT
0,0,0,0,0,0,0,0,HEEG
0,0,0,0,0,0,0,0,HERG
10,16,47,54,10,16,50,56,HESP
0,0,93,104,0,0,96,106,HETA
24,33,78,103,26,37,81,110,HETH
0,0,59,67,0,0,62,71,HEWA
161,229,0,0,161,229,0,0,HIMY
0,0,0,0,0,0,0,0,HIPE
18,26,70,80,18,26,73,83,HOFI
0,0,0,0,0,0,0,0,HOGR
26,44,86,109,26,44,92,116,HOLA
